class,module,npm_install,jelly_exit,seconds,note
redos,papaparse_5.1.1,ok,0,0.56,
redos,parsejson_0.0.3,ok,0,0.39,
redos,path-parse_1.0.6,ok,0,0.40,
redos,platform_1.3.4,ok,0,0.50,
redos,postcss_8.0.0,ok,0,0.86,
redos,printf_0.6.0,ok,0,0.45,
redos,prompts_2.4.0,ok,0,0.38,
redos,prototype_0.0.5,ok,0,0.47,
redos,ramda_0.27.1,ok,0,8.79,
redos,react-native_0.63.0-rc.0,ok,0,0.38,
redos,remarkable_1.7.2,ok,0,0.87,
redos,remove-markdown_0.3.0,ok,0,0.40,
redos,revalidator_0.3.1,ok,0,0.44,
redos,rgb2hex_0.1.0,ok,0,0.40,
redos,sanitize_2.0.0,ok,0,1.37,
redos,semver-regex_3.1.1,ok,0,0.39,
redos,simple-markdown_0.7.2,ok,0,0.50,
redos,slug_0.9.1,ok,0,2.09,
redos,squalcal,n/a(no-package.json),0,0.38,
redos,sshpk_1.13.1,ok,0,1.23,
redos,ssri_8.0.0,ok,0,0.51,
redos,string_3.3.3,ok,0,0.51,
redos,terminal-kit_2.1.0,ok,0,1.34,
redos,three_0.122.0,ok,0,46.34,
redos,timespan_2.3.0,ok,0,0.44,
redos,tmpl_1.0.0,ok,0,0.39,
redos,tough-cookie_2.3.2,ok,0,0.63,
redos,trim_0.0.1,ok,0,0.39,
redos,trim-off-newlines_1.0.0,ok,0,0.39,
redos,truncate_2.0.0,ok,0,0.40,
redos,ua-parser-js_0.7.22,ok,0,0.50,
redos,underscore.string_3.3.4,ok,0,0.59,
redos,uri-js_2.1.1,ok,0,0.52,
redos,urlregex_0.5.0,ok,0,0.39,
redos,url-regex_5.0.0,ok,0,0.40,
redos,validator_13.5.2,ok,0,0.87,
redos,valid-email_0.0.1,ok,0,0.39,
redos,vant_2.12.11,ok,0,0.38,
redos,ws_7.0.0,ok,0,0.38,
command-injection,aaptjs_1.3.1,skipped(already-installed),0,0.71,
command-injection,adb-driver_0.1.8,skipped(already-installed),0,0.44,
command-injection,alfred-workflow-nodejs_2.0.1,skipped(already-installed),0,0.89,
command-injection,apex-publish-static-files_2.0.0,skipped(already-installed),0,0.40,
command-injection,apiconnect-cli-plugins_6.0.2,skipped(already-installed),134,76.00,non-zero exit (see log)
command-injection,arpping_2.0.0,skipped(already-installed),0,0.51,
command-injection,async-git_1.13.1,skipped(already-installed),0,0.44,
command-injection,bestzip_2.1.6,skipped(already-installed),0,2.74,
command-injection,blamer_0.1.13,skipped(already-installed),0,1.26,
command-injection,buns_1.1.6,skipped(already-installed),134,105.02,non-zero exit (see log)
command-injection,clamscan_1.2.0,skipped(already-installed),0,0.60,
command-injection,codecov_3.6.4,skipped(already-installed),0,2.12,
command-injection,command-exists_1.2.2,skipped(already-installed),0,0.41,
command-injection,compass-compile_0.0.1,skipped(already-installed),0,0.57,
command-injection,connection-tester_0.2.0,skipped(already-installed),0,0.41,
command-injection,corenlp-js-interface_1.0.3,failed,n/a,0,npm install failed
command-injection,corenlp-js-prefab_1.0.1,failed,n/a,0,npm install failed
command-injection,curling_0.2.0,skipped(already-installed),0,0.42,
command-injection,curljs_0.1.2,skipped(already-installed),0,0.42,
command-injection,deferred-exec_0.3.1,skipped(already-installed),0,2.36,
command-injection,diskstats_0.0.2,skipped(already-installed),0,0.42,
command-injection,diskusage-ng_0.2.6,skipped(already-installed),0,0.42,
command-injection,dns-sync_0.1.0,skipped(already-installed),0,0.56,
command-injection,effect_1.0.4,failed,n/a,0,npm install failed
command-injection,enpeem_2.2.0,skipped(already-installed),0,0.43,
command-injection,eslint-fixer_0.1.5,skipped(already-installed),0,0.41,
command-injection,extra-asciinema_1.0.0,skipped(already-installed),0,0.42,
command-injection,ffmpegdotjs_0.0.4,skipped(already-installed),0,0.42,
command-injection,ffmpeg-sdk_0.0.5,skipped(already-installed),0,0.41,
command-injection,find-process_1.4.4,skipped(already-installed),0,0.46,
command-injection,freespace_1.0.4,skipped(already-installed),0,0.41,
command-injection,geojson2kml_0.1.1,skipped(already-installed),0,0.39,
command-injection,get-npm-package-version_1.0.6,skipped(already-installed),0,0.39,
command-injection,git_0.1.5,skipped(already-installed),0,0.39,
command-injection,git-add-remote_1.0.0,skipped(already-installed),0,0.40,
command-injection,gitblame_0.1.1,skipped(already-installed),0,0.40,
command-injection,git-dummy-commit_1.3.0,skipped(already-installed),0,0.70,
command-injection,giting_0.0.7,skipped(already-installed),0,0.56,
command-injection,git-lib_1.6.0,skipped(already-installed),0,1.46,
command-injection,git-parse_1.0.4,skipped(already-installed),0,0.80,
command-injection,git-tags-remote_1.0.2,skipped(already-installed),0,0.52,
command-injection,gity_1.0.5,failed,n/a,0,npm install failed
command-injection,gm_1.20.0,skipped(already-installed),0,0.63,
command-injection,google-cloudstorage-commands_0.0.1,skipped(already-installed),0,0.40,
command-injection,growl_1.9.0,skipped(already-installed),0,0.42,
command-injection,gry_5.0.8,skipped(already-installed),0,0.47,
command-injection,heroku-env_0.2.0,skipped(already-installed),0,0.42,
command-injection,hot-formula-parser_3.0.0,skipped(already-installed),0,1.43,
command-injection,imagickal_5.0.1,skipped(already-installed),0,1.32,
command-injection,im-metadata_3.0.1,skipped(already-installed),0,0.42,
command-injection,im-resize_2.3.2,skipped(already-installed),0,0.43,
command-injection,jison_0.4.17,failed,n/a,0,npm install failed
command-injection,kill-by-port_0.0.1,skipped(already-installed),0,0.39,
command-injection,killing_1.0.6,skipped(already-installed),0,0.41,
command-injection,killport_1.0.1,skipped(already-installed),0,0.57,
command-injection,kill-port-process_0.0.1,skipped(already-installed),0,0.64,
command-injection,kill-process-by-name_1.0.5,skipped(already-installed),0,0.39,
command-injection,libnmap_0.4.11,skipped(already-installed),0,5.79,
command-injection,local-devices_2.0.0,skipped(already-installed),0,0.50,
command-injection,lsof_0.1.0,skipped(already-installed),0,0.42,
command-injection,lycwed-spritesheetjs_1.2.5,failed,n/a,0,npm install failed
command-injection,macaddress_0.2.8,skipped(already-installed),0,0.43,
command-injection,macfromip_1.1.1,skipped(already-installed),0,0.42,
command-injection,monorepo-build_0.1.9,skipped(already-installed),134,84.45,non-zero exit (see log)
command-injection,node-df_0.1.4,skipped(already-installed),0,0.43,
command-injection,node-key-sender_1.0.11,skipped(already-installed),0,0.43,
command-injection,node-latex-pdf_0.0.2,skipped(already-installed),0,0.40,
command-injection,node-mpv_0.12.2,skipped(already-installed),0,3.10,
command-injection,node-ps_0.0.2,skipped(already-installed),0,0.42,
command-injection,node-unrar_0.1.0,skipped(already-installed),0,0.40,
command-injection,npm-git-publish_0.2.4-beta,skipped(already-installed),0,1.64,
command-injection,npm-help_1.0.0,skipped(already-installed),0,0.52,
command-injection,onion-oled-js_0.0.2,skipped(already-installed),0,0.47,
command-injection,open_0.0.5,skipped(already-installed),0,0.41,
